name_company;adr_company;tel_company;tel_company_02;email_company;www_company;link_company;social_company
MRS KFZ-Service;Hohensteinstr. 2273079 Sen;(07162) 939700;No phone additionally;info@mrs-kfz-service.de;http://www.mrs-kfz.de/;https://www.11880.com/branchenbuch/suessen/012010409B29522915/mrs-kfz-service.html;No social
Autohaus Klaus;Metzstr. 1586316 Friedberg, Bayern;(0821) 62239;Weitere Kontaktdaten, (0821) 62239, (0821) 69530;info@fiat-klaus.de;http://www.fiat-klaus.de;https://www.11880.com/branchenbuch/friedberg-bayern/012010410B28039836/autohaus-klaus.html;No social
MGP - Mein GebrauchtwagenPartner GmbH & Co. KG;Schmarler Damm 4 b18069 Rostock (Schmarl);(0381) 66096060;No phone additionally;werkstatt@mein-gebrauchtwagen-partner.de;https://mein-gebrauchtwagen-partner.de;https://www.11880.com/branchenbuch/rostock/012010409B108814984/mgp-mein-gebrauchtwagenpartner-gmbh-co-kg.html;No social
Vonau Corse;Hersbrucker Str. 3891207 Lauf;(09123) 9808797;No phone additionally;vonaucorse@web.de;https://www.vonau-corse.de;https://www.11880.com/branchenbuch/lauf-an-der-pegnitz/012010409B102658146/vonau-corse.html;No social
Autohaus Schrn GmbH;Langenfelder Str. 10836433 Bad Salzungen;(03695) 852041;Weitere Kontaktdaten, (03695) 852041, (03695) 852042;info@autohaus-schroen.de;http://www.autohaus-schroen.de;https://www.11880.com/branchenbuch/bad-salzungen/012010409B100112665/autohaus-schroen-gmbh.html;No social
Marek Matyja KFZ-Werkstatt Meisterbetrieb;Hindenburgstr. 778087 Mnchweiler;(07721) 963568;Weitere Kontaktdaten, (07721) 963568, (07721) 963569;m.matyja@freenet.de;https://www.mozema.de;https://www.11880.com/branchenbuch/moenchweiler/012080455B28896923/marek-matyja-kfz-werkstatt-meisterbetrieb.html;No social
Reinhardt Wirth KFZ-Werkstatt;Jllenbecker Str. 1433824 Werther;(05203) 882830;Weitere Kontaktdaten, (05203) 882830, (05203) 882832;info@wirthkfz.de;http://www.wirthkfz.de;https://www.11880.com/branchenbuch/werther-westfalen/012010409B29442196/reinhardt-wirth-kfz-werkstatt.html;No social
Hans Landen;Landstr. 5352441 Linnich (Gereonsweiler);(02462) 6111;Weitere Kontaktdaten, (02462) 6111, (02462) 5450;h.landen@autohaus-landen.de;https://www.autohaus-landen.de;https://www.11880.com/branchenbuch/linnich/012010409B44200073/hans-landen.html;No social
Ritter KFZ-Meisterbetrieb und Abschleppdienst;Bernwardstr. 831174 Schellerten (Whle);(05123) 7457;No phone additionally;kfz-ritter@gmx.de;https://www.kfz-ritter.com/;https://www.11880.com/branchenbuch/schellerten/012010409B27579336/ritter-kfz-meisterbetrieb-und-abschleppdienst.html;No social
Beulenprofi;Ruhrallee 145138 Essen (Sdostviertel);(0201) 2799063;No phone additionally;info@autohaus-essen.de;http://www.autohaus-essen.de;https://www.11880.com/branchenbuch/essen-ruhr/012080418B41897270/beulenprofi.html;No social
