Title;Brand_product;title_group;Artikelnr;Weight product;Price;Link to img
Schweizer Winterjoghurt;Milbona;Neu im Sortiment;2332;pro 200g;0,59;"=IMAGE(""https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/2/3/2332_ApfelZimt_PSXX.jpg"")"
Polenta fein;Belbake;Neu im Sortiment;6000120;pro 500g;0,63;"=IMAGE(""https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/6/0/6000120_PSXX_3.jpg"")"
Machland Fruit & go Squeezer;Machland;Neu im Sortiment;5002343;pro 100g;0,69;"=IMAGE(""https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/5/0/5002343_Apfel_Banane_Erdbeere_PSXX.jpg"")"
Premium Hundenassnahrung;Orlando Gourmet;Neu im Sortiment;126679;pro 150g | 100g = 0.50 CHF;0,75;"=IMAGE(""https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/1/2/126679_Kalb_PSXX.jpg"")"
Veganes Reisdessert;Vemondo;Neu im Sortiment;173018; ;0,99;"=IMAGE(""https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/1/7/173018_KokosFront_PSXX.jpg"")"
Kosmetiktcher 2-lagig;Cien;Neu im Sortiment;19570;Not weight_product;0,85;"=IMAGE(""https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/1/9/19570_01_PSXX.jpg"")"
Choco-Drink;Milbona;Neu im Sortiment;1574;pro 500ml;0,89;"=IMAGE(""https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/1/5/1574_PSXX.jpg"")"
Glasnudeln;Combino;Neu im Sortiment;89804;Not weight_product;0,99;"=IMAGE(""https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/8/9/89804_Combino_PSXX.jpg"")"
Grillsaucen;Kania;Neu im Sortiment;2256;pro 300ml | 1l = 3.30 CHF;0,99;"=IMAGE(""https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/2/2/2256_Barbeque_PSXX.jpg"")"
Hygiene-Einlagen;Siempre;Neu im Sortiment;29416;pro 12 Stck | 1 Stk = 0.11 CHF;1,25;"=IMAGE(""https://sortiment.lidl.ch/media/amasty/amoptmobile/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/2/9/29416_PSXX.jpg"")"
