name_product;kateg;price;description;image_01;image_02;image_03;;;;;;;;
Lash Extension Book Lovely;related_materials;ˆ 182,70;Lash extension book is pointing at key lash extension parameters: lash type, tips, color, lash curls, thickness and length.As a brand-new product, it presents all lashes from Lovely assortment in one place protected by perfectly designedthick-layer book cover in matt black color with a well-known shiny brand logo.Created for luxury taste and true beauty professionals.Highly recommended to lash trainers, students and beauty salons.;http://test-development.de/wp-content/uploads/2022/12/lash-extension-book-lovely_20-scaled.webp;http://test-development.de/wp-content/uploads/2022/12/lash-extension-book-lovely_92-scaled.webp;;;;;;;;;
Brand box;related_materials;ˆ 14,21;Brand box Lovely for beauty experts.For multiple use.Color: WhiteDimensions:Height: 65mmDepth: 215mmWidth: 337mm;http://test-development.de/wp-content/uploads/2022/12/brand-box_59.webp;http://test-development.de/wp-content/uploads/2022/12/brand-box_64-scaled.webp;http://test-development.de/wp-content/uploads/2022/12/brand-box_77.webp;;;;;;;;
Eyelashes Palette Lovely White;related_materials;ˆ 3,55;Eyelash palette WhiteThe acrylic palette for lash artists.Provides secure clutch on the sticky side of the tape even product is reused.White palette surface.Dimensions: 70 x 150 mmUnlimited use;http://test-development.de/wp-content/uploads/2022/12/eyelashes-palette-lovely-white_67.webp;http://test-development.de/wp-content/uploads/2022/12/eyelashes-palette-lovely-white_72.webp;;;;;;;;;
Eyelashes Palette Lovely Double;related_materials;ˆ 6,09;Eyelash palette DoubleThe acrylic palette for lash artists.Provides secure clutch on the sticky side of the tape even product is reused.White palette surface.Dimensions: 115 x 150 mmUnlimited use;http://test-development.de/wp-content/uploads/2022/12/eyelashes-palette-lovely-double_10.webp;http://test-development.de/wp-content/uploads/2022/12/eyelashes-palette-lovely-double_74.webp;;;;;;;;;
Eyelashes Palette Lovely Design;related_materials;ˆ 5,08;Eyelash palette DesignThe acrylic palette for lash artists.Provides secure clutch on the sticky side of the tape even product is reused.White palette surface.Dimensions: 115 x 150 mmUnlimited use;http://test-development.de/wp-content/uploads/2022/12/eyelashes-palette-lovely-design_21.webp;http://test-development.de/wp-content/uploads/2022/12/eyelashes-palette-lovely-design_76.webp;;;;;;;;;
Thermo glue storage;related_materials;ˆ 3,05;The thermo pack is used for the proper glue storage.It protects the glue properties and improves lash extension retention for a long time.Special zip lock provides perfect product protection.Available in two sizes: small and standard.;http://test-development.de/wp-content/uploads/2022/12/thermo-glue-storage_77.webp;;;;;;;;;;
Lashbox Lovely (5 paletts);related_materials;ˆ 40,09;Lash box provides comfortable and safe storage for your eyelash trays.The lash box can hold 5 tablets at the same time, and the flip cover allows you to protect the trays from environmental impact.Product is designed for 5 lash trays.;http://test-development.de/wp-content/uploads/2022/12/lashbox-lovely-5-paletts_27.webp;http://test-development.de/wp-content/uploads/2022/12/lashbox-lovely-5-paletts_48.webp;http://test-development.de/wp-content/uploads/2022/12/lashbox-lovely-5-paletts_57.webp;http://test-development.de/wp-content/uploads/2022/12/lashbox-lovely-5-paletts_83.webp;http://test-development.de/wp-content/uploads/2022/12/lashbox-lovely-5-paletts_89.webp;;;;;;
Lashbox Lovely (10 paletts);related_materials;ˆ 54,81;No description;http://test-development.de/wp-content/uploads/2022/12/lashbox-lovely-10-paletts_28.webp;http://test-development.de/wp-content/uploads/2022/12/lashbox-lovely-10-paletts_61.webp;http://test-development.de/wp-content/uploads/2022/12/lashbox-lovely-10-paletts_70.webp;;;;;;;;
Paper Bag Lovely;related_materials;ˆ 2,81;Long-lasting decorative brand bag.Made for carrying supplies Lovely.Ideal for placing lash and brow supplies.Handy use.Size: 26 x 35 x 10 (cm);http://test-development.de/wp-content/uploads/2022/12/paper-bag-lovely_84.webp;;;;;;;;;;
Pallet for glue Multi;related_materials;ˆ 0,51;No description;http://test-development.de/wp-content/uploads/2022/12/pallet-for-glue-multi_80.webp;;;;;;;;;;
