name_product;price;description;image_01;image_02;image_03
Lash Extension Book Lovely;ˆ 180,00;Lash extension book is pointing at key lash extension parameters: lash type, tips, color, lash curls, thickness and length.As a brand-new product, it presents all lashes from Lovely assortment in one place protected by perfectly designedthick-layer book cover in matt black color with a well-known shiny brand logo.Created for luxury taste and true beauty professionals.Highly recommended to lash trainers, students and beauty salons.;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/8f8/8f8eaf52a1fa5a730c196e73b88ce1f3.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/c2b/c2b6a7da65835fa05ed60a93daa246e2.webp
Brand box;ˆ 14,00;Brand box Lovely for beauty experts.For multiple use.Color: WhiteDimensions:Height: 65mmDepth: 215mmWidth: 337mm;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/7f4/7f43a997df76f336ed02f1dadf590f26.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/d60/d60b68ff5b3d2574836a827048fd5dc3.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/9ad/9ad8b6c648794dd77de04df0d877a53f.webp
Eyelashes Palette Lovely White;ˆ 3,50;Eyelash palette WhiteThe acrylic palette for lash artists.Provides secure clutch on the sticky side of the tape even product is reused.White palette surface.Dimensions: 70 x 150 mmUnlimited use;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/904/9046e1321483ac0e26cfab9d6758715f.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/c25/c25b57ea8a127c610fa2d55ec671d553.webp
Eyelashes Palette Lovely Double;ˆ 6,00;Eyelash palette DoubleThe acrylic palette for lash artists.Provides secure clutch on the sticky side of the tape even product is reused.White palette surface.Dimensions: 115 x 150 mmUnlimited use;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/39d/39dfd0aa0e9c51d97361b3197a5d3d1a.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/adc/adcc3436777d3988492cd940cc5de269.webp
Eyelashes Palette Lovely Design;ˆ 5,00;Eyelash palette DesignThe acrylic palette for lash artists.Provides secure clutch on the sticky side of the tape even product is reused.White palette surface.Dimensions: 115 x 150 mmUnlimited use;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/6b7/6b72d044aeca4e39aa6e9bce123dc543.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/19d/19d8fb39a6e98e9e21492fbd16c4a8a5.webp
Thermo glue storage;ˆ 3,00;The thermo pack is used for the proper glue storage.It protects the glue properties and improves lash extension retention for a long time.Special zip lock provides perfect product protection.Available in two sizes: small and standard.;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/729/7299e8a0f6bd0e2453fff898fd8061ae.webp
Lashbox Lovely (5 paletts);ˆ 39,50;Lash box provides comfortable and safe storage for your eyelash trays.The lash box can hold 5 tablets at the same time, and the flip cover allows you to protect the trays from environmental impact.Product is designed for 5 lash trays.;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/0b1/0b155d3b1acd64d0c838e1308336ae81.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/9d6/9d62a95c8f0fe2dcd056a788bc22106d.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/52a/52a228fa5be910b348cbf873f5b840b6.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/adb/adb819db6c25bfefaf375f3f3d4232d3.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/74e/74ef3979a5e3e951e123f5cbf7a2b70a.webp
Lashbox Lovely (10 paletts);ˆ 54,00;No description;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/214/214ec792b08404f42f613762b729a0ff.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/e8c/e8c810240d4a7eb42f4c5de38bc17367.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/0a7/0a75dce0be275b7a136d68479d257cd2.webp
Paper Bag Lovely;ˆ 2,77;Long-lasting decorative brand bag.Made for carrying supplies Lovely.Ideal for placing lash and brow supplies.Handy use.Size: 26 x 35 x 10 (cm);http://www.lovely-professional.com/upload/resize_cache/webp/iblock/20a/20a46674327f88ea4a32b82bbc9ac46c.webp
Pallet for glue Multi;ˆ 0,50;No description;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/68f/68f88c1e63f6d613354aa8fdc19f90f6.webp
Ring for glue Double;ˆ 0,50;Glue ring doubleSpecial glue ring with double-section cup.Handy product for achieving easier and faster results.Ideal for placing adhesive, tint lash primer, or remover.Put the ring on the suitable finger and place the appropriate amount of liquid you want to use.Product is reusable.;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/68e/68e6efc414a60e07362ccb6c67049e27.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/8d3/8d3f862e453f6f78e1f1decb413b49db.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/fa5/fa5c0e93abe9a36c6a1441e2b2b492ee.webp
Removable headband tablet;ˆ 3,50;The headband makes work of any lash stylist much easier.It's soft and gentle and it has antibacterial properties.Easy to wash, it dries quickly and does not deform.The optimal arrangement of the palette allows the master to accelerate the process of eyelash extensions.Material: VelsoftColor: whiteProduct Parameters:Dimensions (L x W): 8.5 cm x 63 cmDimensions (L x W): 7x7 cm;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/6e6/6e6bf93489f77f10782ec433ec420d8a.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/f45/f45b9c608b2bb8f0c6013654d9779d33.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/71a/71a7430ad42e7a94903fed09d4645414.webp
Palette on hand with an elastic Lovely;ˆ 7,50;A unique product for active lash stylists.It provides you professional lash results.Due to the flexible band, you may fix your lash tray as you wish.;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/91b/91b65c6e7501cc4a13bd8daba7c3fd02.webp
Tablet for colored eyelashes Lovely Black;ˆ 5,50;Black lash trays are ideal lash accessories for working with colored lashextensions.Available in a small size that suits perfectly to any working area.Light-weight;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/650/650379938ce22b737271d0bc27ecdf2c.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/9aa/9aa8fb61b5de4d9a6c6552d131606bed.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/da9/da9e00b225311d42ee9013d0bde154e6.webp
Collagen patches (1 pair);ˆ 1,00;Collagen patches fix lower lashes delicately.They are white, thin and with anatomical shape.After removing the patch, skin is smooth and moisturized.How to use: Place the pads under the eyes by covering lower lashes.Ingredients: Glycerol, Hydrogel resin powder, water, aloe extract.Shelf life: 2 years;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/47f/47f039512e69fc6caa250c492536bbeb.webp
Paper tape;ˆ 3,50;No description;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/aae/aae9300ba2de7917870341baf4a02e39.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/bf3/bf3d14c79428d34a029da704760c743e.webp
Plastic tape;ˆ 3,50;No description;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/77a/77a12078ad2a37df44e857c75ad0399d.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/fbf/fbf8f2900f9c91750ed145fe4de57f90.webp
Vinyl stickers (1 sheet);ˆ 2,50;Vinyl stickers for eyelash extension procedure.For placing under the eyes.Very thin, flexible, well-glued, fixed firmly, while removing after extension procedure.Provides skin protection during the extension or coloring procedure of eyebrows and eyelashes.Package: 20 pairs;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/fa0/fa0f4a720f9aa8dbd6ea475583126862.webp
Vinyl stickers ¹2 (1 sheet);ˆ 2,00;Vinyl stickers for eyelash extension procedure.For placing under the eyes.Very thin, flexible, well-glued, fixed firmly, while removing after extension procedure.Provides skin protection during the extension or coloring procedure of eyebrows and eyelashes.Package: 10 pairs;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/ec6/ec6ea4c64d1986d7c7b105eb49fef838.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/c49/c49f433d008dce1a922ae6d47ff30804.webp
Brush Diamond for eyelashes;ˆ 4,50;Excellent product for lash extension homecare treatmentMaterial: aluminum, coating - zirconiumPile material: nylon Colors: Pink Dream, White Pearl, Purple Ice, Gold Treasure;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/ed0/ed0efd0142e25e5ab344e56698af106e.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/052/0525e3a315cdd5c857e2fc0971494639.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/4e7/4e7646c844c13c4ee3820bfad7dbe719.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/274/27492b1e01246fa493e2617b48675f46.webp;http://www.lovely-professional.com/upload/resize_cache/webp/iblock/c74/c74bd2ce49ac575dfbeb181a3b12e253.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/ab0/ab010dd31ce0474a5c0fb494695c295f.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/323/323cb92d97c9041eb23b5f5b71693215.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/c2d/c2d446de4d1255e3770ba0d14397bb17.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/c02/c02db31a93d0e342dd50f3b5a1c52efe.webp
Brush Ñolor Shine for eyelashes;ˆ 0,17;No description;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/d37/d374c0c259c13dd0cd402090d2c0d989.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/1ea/1eaea8adf4ec1f3559a86e328f6682a2.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/f2a/f2aedda73c31783da66fb9b0f4ea8055.webp
Nylon eyelash brush;ˆ 0,50;No description;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/1b3/1b3d1af16023aa3152babcac72ce3e95.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/a8d/a8dfdc5d62b063e6418588db93972b3a.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/c50/c50c810653e62eb4a5626f78c1a5b078.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/67b/67ba9d63b93c410fd26b55b8f82214d0.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/38e/38ed4515c9dbba5d0f1d7ea02375e252.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/2ab/2ab1cc95539f08d38a445aecd7753085.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/ded/deda5667bf38a12b5908938e14976e8a.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/2c4/2c4c81de7dc6d5b6703a6565689536fa.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/1c7/1c7fb4a306a0458eee691e5e675b447c.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/779/779e0f691645c9898382a2f2d4e08b9f.webp;http://www.lovely-professional.com/upload/resize_cache/webp/upload/iblock/dd0/dd09876219e9566f761a74faa297a4ba.webp
