Name;Number;Albums;Labels;description;description_2
Lee Dong-wook;1;Not Albums;Not Labels;Lee Dong-wook (born November 6, 1981) is a South Korean actor, host, model and entertainer. He is best known for his leading roles in the television dramas My Girl (2005), Scent of a Woman (2011), The Fugitive of Joseon , Hotel King (2014), Guardian: The Lonely and Great God (2016–2017), Life (2018), Touch Your Heart (2019), Hell Is Other People (2019) and Tale of the Nine Tailed (2020) in the titular role. Furthermore, he’s also known as the host of the talk show Strong Heart (2012-2013), boy group survival reality show Produce X 101 (2019), and his own American-style talk show Wook Talk (2019).;Not description
Jungkook;2;Not Albums;Not Labels;"Jeon Jung-kook (born September 1, 1997), known mononymously as Jungkook, is a South Korean singer and songwriter. He is the youngest member and vocalist of the South Korean boy band BTS. Jungkook has released three solo tracks with BTS: ""Begin"" in 2016, ""Euphoria"" in 2018, and ""My Time"" in 2020, all of which have charted on South Korea's Gaon Digital Chart. He also sang the soundtrack for the BTS-based webtoon 7Fates: Chakho, titled ""Stay Alive"". In 2022, he was featured on the single ""Left and Right"" by American singer-songwriter Charlie Puth, which peaked at number 22 on the U.S. Billboard Hot 100.";Not description
Steven Yeun;3;Not Albums;Not Labels;Steven Yeun (born December 21, 1983) is a Korean-American actor and voice actor. He is known for his role as Glenn Rhee on AMC's horror drama television series The Walking Dead. Yeun has also appeared in many short and feature films, and has done video game and cartoon voiceovers.;Not description
Darren Barnet;4;Not Albums;Not Labels;Not description;Darren Charles Barnet (born April 27, 1991) is an American actor who is known for playing Paxton Hall-Yoshida in the Netflix series Never Have I Ever. He also has a lead role in the film American Pie Presents: Girls' Rules.
Jimin;5;Not Albums;Not Labels;"Park Ji-min (born on October 13, 1995), better known mononymously as Jimin, is a South Korean singer, songwriter, and dancer. In 2013 he debuted as a member of the South Korean boy band BTS, under the record label Big Hit Entertainment. In the group, Jimin holds the position of vocalist. Under BTS, he has released two solo tracks: ""Lie"" and ""Serendipity"". The song ""Lie"" was released in 2016 in the album Wings. It was described as stunning and dramatic, conveying dark undertones and emotions that helped reflect the overall concept of the album. In contrast, ""Serendipity"" from the album Love Yourself: Her released in 2017 was soft and sensual, unraveling the joy, conviction, and curiosity of love. From 2016 to 2018, Jimin supported graduates of Busan Hodong Elementary School, his alma mater, by covering uniform expenses. Jimin's vocals have been described as delicate and sweet.";Not description
Simu Liu;6;Not Albums;Not Labels;Simu Liu (born April 19, 1989) is a Chinese-Canadian actor, writer, stuntman, and filmmaker. He is best known for the role of Jung in the CBC Television sitcom Kim's Convenience. He will portray the superhero Shang-Chi in the Marvel Cinematic Universe, beginning with the film Shang-Chi and the Legend of the Ten Rings (2021), and is set to become the first Asian actor to lead a Marvel Studios film. He received nominations at the ACTRA Awards and Canadian Screen Awards for his work in Blood and Water.;Not description
Hasan Minhaj;7;Not Albums;Not Labels;Hasan Minhaj (born September 23, 1985) is an American comedian, writer, producer, political commentator, actor, and television host of Indian descent. His Netflix show Patriot Act with Hasan Minhaj won two Peabody Awards and two Webby Awards. After working as a stand-up comic and appearing in minor television roles, he came to prominence for his work on The Daily Show as its senior correspondent from 2014 to 2018. Minhaj was the featured speaker at the 2017 White House Correspondents’ Dinner. His first stand-up comedy special, Homecoming King, debuted on Netflix on May 23, 2017, received positive reviews from critics and earned him his first Peabody Award in 2018.;Not description
Dev Patel;8;Not Albums;Not Labels;Dev Patel (born April 23, 1990) is an English actor. Born and raised in London to Gujarati Indian Hindu parents, Patel made his screen debut as Anwar Kharral in the first two seasons of the British television teen drama Skins (2007–2008), landing the role with no prior professional acting experience. His breakthrough came in 2008 with the leading role of Jamal Malik in Danny Boyle's drama Slumdog Millionaire, which won the Academy Award for Best Picture, and for which he was nominated for the BAFTA Award for Best Actor and the SAG Award for Best Supporting Actor.Patel went on to star in the highly successful romantic comedy The Best Exotic Marigold Hotel (2012) and its 2015 sequel, as well as the fantasy film The Last Airbender (2010), and the science fiction crime thriller film Chappie (2015). His portrayal of Neal Sampat on the HBO television series The Newsroom (2012–2014) earned him an NAACP Image Award nomination for Outstanding Supporting Actor in a Drama Series. In 2015, Patel starred as the mathematician Srinivasa Ramanujan in the biopic The Man Who Knew Infinity, and the following year he played Saroo Brierley in the drama Lion (2016). For the latter, he won the BAFTA Award for Best Supporting Actor and was nominated for an Academy Award, Golden Globe and SAG Award.;Not description
Godfrey Gao;9;Not Albums;Not Labels;Godfrey Gao was a Taiwanese-Canadian model and actor, noted as the first Asian model to appear in a campaign for Louis Vuitton. He was known for his roles as Magnus Bane in the 2013 film adaptation of The Mortal Instruments: City of Bones and for his leading role in Chinese television series Remembering Lichuan.;Not description
Sehun;10;Not Albums;Not Labels;Oh Se-hun (born April 12, 1994), better known mononymously as Sehun, is a South Korean rapper, singer-songwriter, dancer, model and actor. He is a member of the South Korean-Chinese boy group Exo, its sub-group Exo-K and sub-unit Exo-SC. Apart from his group's activities, Sehun has also starred in various television dramas and films such as Secret Queen Makers (2018) and Dokgo Rewind (2018). He has been a cast member of Busted! since 2018.;Not description
Kim Soo-hyun;11;Not Albums;Not Labels;Kim Soo-hyun (born February 16, 1988) is a South Korean actor. One of the highest-paid actors in South Korea, his accolades include four Baeksang Arts Awards, two Grand Bell Awards and one Blue Dragon Film Award. From 2012 to 2016 and in 2021, he has appeared in Forbes Korea Power Celebrity 40 list. He was selected as Gallup Korea's Television Actor of the Year in 2014 and was featured by Forbes in their 30 Under 30 Asia list of 2016.;Not description
Minho;12;Not Albums;Not Labels;"Choi Min-ho (born December 9, 1991), better known by the mononym Minho, is a South Korean rapper, singer, actor, songwriter, and model. In May 2008, he debuted as a member of South Korean boy group Shinee which later became one of the best-selling Korean artists. Aside from group activities, he debuted as an actor in November 2010 in KBS2's drama special Pianist. He has since landed roles in television series such as Salamander Guru and The Shadows (2012), To the Beautiful You (2012), Medical Top Team (2013), My First Time (2015), and Hwarang: The Poet Warrior Youth (2016). He made his feature film debut in 2016 with Canola. In March 2019, he released his SM Station single, ""I'm Home"", and in December 2021, he released his first digital single, ""Heartbreak"".";Not description
Ji Chang-wook;13;Not Albums;Not Labels;Ji Chang-wook (born 5 July 1987) is a South Korean actor and singer. He rose to fame for playing the lead role of Dong-hae in daily drama series Smile Again (2010–2011), and had notable lead roles in television series such as Warrior Baek Dong-soo (2011), Empress Ki (2013–2014), Healer (2014–2015), The K2 (2016), Suspicious Partner (2017), Melting Me Softly (2019), Backstreet Rookie (2020), and Lovestruck in the City (2020-2021).;Not description
Henry Golding;14;Not Albums;Not Labels;Henry Ewan Golding (born 5 February 1987) is a British actor, model, and television host who has been a presenter on BBC's The Travel Show since 2014. He is known for his film work, playing the role of Nick Young in Crazy Rich Asians, as well as Sean Townsend in the thriller A Simple Favor and Tom in the romantic comedy Last Christmas, the latter two directed by Paul Feig.;Not description
Ross Butler;15;Not Albums;Not Labels;"Ross Butler is an actor who appeared in ""13 Reasons Why,"" ""Shazam!,"" and ""Perfect High.""";Not description
Utkarsh Ambudkar;16;Not Albums;Not Labels;Utkarsh Ambudkar is a film actor.;Not description
Aaron Yoo;17;Not Albums;Not Labels;Aaron Yoo (born May 12, 1979) is a Korean American  actor. He is best known for appearing in the movies Disturbia (2007), 21 (2008) and Friday the 13th (2009) as well as playing Russell Kwon in the sci-fi show The Tomorrow People (2013–14).;Not description
Hyungwon;18;Not Albums;Not Labels;Chae Hyung-won (born january 15, 1994), better known as Hyungwon, is a South Korean singer under Starship Entertainment. He is a member of the boy group MONSTA X. As a DJ, he goes by the stage name DJ H.ONE.;Not description
Taeyong;19;Not Albums;Not Labels;Lee Tae-yong (born July 1, 1995), better known as Taeyong, is a South Korean rapper under SM Entertainment. He is a member of the boy group NCT and its sub-units NCT U and NCT 127.;Not description
Jonathan Ke Quan;20;Not Albums;Not Labels;"Jonathan Luke Ke Huy Quan (Chinese: ; pinyin: Gun Jwi; Vietnamese: Quan K Huy; Cantonese: Gwan Gaiwi; born August 20, 1971) is a Vietnamese-American actor and stunt choreographer of Chinese descent. He is best known for his appearances in the 1980s Steven Spielberg productions of Indiana Jones and the Temple of Doom and The Goonies.";Not description
