Name;Number;Info
Soyeon;1;"Group: (G)I-DLE
Label: Cube Entertainment
Nationality: South Korea
Birthdate: August 26, 1998
"
Jennie;2;"Group: Blackpink
Label: YG Entertainment
Nationality: South Korea
Birthdate: January 16, 1996
"
Moonbyul;3;"Group: Mamamoo
Label: Rainbow Bridge World
Nationality: South Korea
Birthdate: December 22, 1992
"
Lisa;4;"Group: Blackpink
Label: YG Entertainment
Nationality: Thailand
Birthdate: March 27, 1997
"
Chaeyoung;5;"Group: TWICE
Label: JYP Entertainment
Nationality: South Korea
Birthdate: April 23, 1999
"
Yeeun;6;"Group: CLC
Label: Cube Entertainment
Nationality: South Korea
Birthdate: August 10, 1998
"
Ryujin;7;"Group: ITZY
Label: JYP Entertainment
Nationality: South Korea
Birthdate: April 17, 2001
"
LE;8;"Group: EXID
Label: Banana Culture Entertainment
Nationality: South Korea
Birthdate: December 10, 1991
"
Dami;9;"Group: Dreamcatcher
Label: Happy Face Entertainment
Nationality: South Korea
Birthdate: March 7, 1997
"
Yeji;10;"Group: ITZY
Label: JYP Entertainment
Nationality: South Korea
Birthdate: May 26, 2000
"
Dahyun;11;"Group: TWICE
Label: JYP Entertainment
Nationality: South Korea
Birthdate: May 28, 1998
"
Hwasa;12;"Group: Mamamoo
Label: Rainbow Bridge World
Nationality: South Korea
Birthdate: July 23, 1995
"
Irene;13;"Group: Red Velvet
Label: SM Entertainment
Nationality: South Korea
Birthdate: March 29, 1991
"
Chaeryeong;14;"Group: ITZY
Label: JYP Entertainment
Nationality: South Korea
Birthdate: June 5, 2001
"
Momo;15;"Group: TWICE
Label: JYP Entertainment
Nationality: Japan
Birthdate: November 9, 1996
"
Jimin;16;"Group: AOA
Label: FNC Entertainment
Nationality: South Korea
Birthdate: January 8, 1991
"
Yeri;17;"Group: Red Velvet
Label: SM Entertainment
Nationality: South Korea
Birthdate: March 5, 1999
"
Kim Hyo-yeon;18;"Group: Girls' Generation
Label: SM Entertainment
Nationality: South Korea
Birthdate: September 22, 1989
"
Joy;19;"Group: Red Velvet
Label: SM Entertainment
Nationality: South Korea
Birthdate: September 3, 1996
"
Eunbin;20;"Group: CLC
Label: Cube Entertainment
Nationality:  South Korea
Birthdate: January 6, 2000
"
Yena;21;"Group: IZ*ONE
Label: Off the Record; Yuehua Entertainment
Nationality: South Korea
Birthdate: September 29, 1999
"
Yoojung;22;"Group: Weki Meki
Label: Fantagio Music
Nationality: South Korea
Birthdate: November 12, 1999
"
Lee Chaeyeon;23;"Group: IZ*ONE
Label: Off the Record
Nationality: South Korea
Birthdate: January 11, 2000
"
SuA;24;"Group: Dreamcatcher
Label: Happy Face Entertainment
Nationality: South Korea
Birthdate: August 10, 1994
"
YeoJin;25;"Group: Loona 
Label: Blockberry Creative
Nationality: South Korea
Birthdate: November 11, 2002
"
Choerry;26;"Group: Loona 
Label: Blockberry Creative
Nationality: South Korea
Birthdate: June 4, 2001
"
Seungyeon;27;"Group: CLC
Label: Cube Entertainment
Nationality:  South Korea
Birthdate: November 6, 1996
"
JinSoul;28;"Group: Loona 
Label: Blockberry Creative
Nationality: South Korea
Birthdate: June 13, 1997
"
Go Won;29;"Group: Loona 
Label: Blockberry Creative
Nationality: South Korea
Birthdate: November 19, 2000
"
Soojin;30;"Group: (G)I-DLE
Label: Cube Entertainment
Nationality: South Korea
Birthdate: March 9, 1998
"
Mina;31;"Group: Gugudan
Label: Jellyfish Entertainment
Nationality: South Korea
Birthdate: December 4, 1999
"
Lim Nayoung;32;"Group: Pristin
Label: Pledis Entertainment
Nationality: South Korea
Birthdate: December 18, 1995
"
Lee Chaeyoung;33;"Group: fromis_9
Label: Off The Record Entertainment
Nationality: South Korea
Birthdate: May 14, 2000
"
Yaebin;34;"Group: Pristin
Label: Pledis Entertainment
Nationality: South Korea
Birthdate: October 19, 1998
"
Umji;35;"Group: GFriend
Label: Source Music
Nationality: South Korea
Birthdate: August 19, 1998
"
Sally;36;"Group: Gugudan
Label: Jellyfish Entertainment
Nationality: China
Birthdate: October 23, 1996
"
Jeonghwa;37;"Group: EXID
Label: Banana Culture Entertainment, Yedang Enterainment
Nationality: South Korea
Birthdate: May 8, 1995
"
Lucy;38;"Group: Weki Meki
Label: Fantagio Music
Nationality: South Korea
Birthdate: August 31, 2002
"
Lee Seoyeon;39;"Group: Fromis 9 
Label: Off The Record Entertainment
Nationality: South Korea
Birthdate: January 22, 2000
"
Chanmi;40;"Group: AOA
Label: FNC Entertainment
Nationality: South Korea
Birthdate: June 19, 1996
"
Kang Hyewon;41;"Group: IZ*ONE
Label: Off The Record Entertainment
Nationality: South Korea
Birthdate: July 5, 1999
"
Kim So-jeong;42;"Group: GFriend
Label: Source Music
Nationality: South Korea
Birthdate: December 7, 1995
"
Rina;43;"Group: Weki Meki
Label: Fantagio Music
Nationality: South Korea
Birthdate: September 27, 2001
"
Yeoreum;44;"Group: Cosmic Girls
Label: Starship Entertainment
Nationality: South Korea
Birthdate: January 10, 1999
"
Chorong ;45;"Group: Apink
Label: Cube Entertainment
Nationality: South Korea
Birthdate: March 3, 1991
"
Solbin;46;"Group: Laboum 
Label: Global H Media
Nationality: South Korea
Birthdate: August 19, 1997
"
Tiffany Young;47;"Group: Girls' Generation
Label: SM Entertainment
Nationality: South Korea/America
Birthdate: August 1, 1989
"
Daisy;48;"Group: Momoland
Label: MLD Entertainment
Nationality: South Korea
Birthdate: January 22, 1999
"
Hitomi Honda;49;"Group: IZ*ONE
Label: Off the Record
Nationality: Japan
Birthdate: October 6, 2001
"
Lee Saerom;50;"Group: Fromis 9 
Label: Off The Record Entertainment
Nationality: South Korea
Birthdate: January 7, 1997
"
Bella;51;"Group: Elris
Label: Hunus Entertainment
Nationality: South Korea
Birthdate: February 2, 1999
"
Im Yoon-ah;52;"Group: Girls' Generation
Label: SM Entertainment
Nationality: South Korea
Birthdate: May 30, 1990
"
Kwon Yuri;53;"Group: Girls' Generation
Label: SM Entertainment
Nationality: South Korea
Birthdate: December 5, 1989
"
Choi Soo-young;54;"Group: Girls' Generation
Label: SM Entertainment
Nationality: South Korea
Birthdate: February 10, 1990
"
Yeonwoo;55;"Group: Momoland
Label: MLD Entertainment
Nationality: South Korea
Birthdate: August 01, 1996
"
Mina;56;"Group: AOA
Label: FNC Entertainment
Nationality: South Korea
Birthdate: September 21, 1993
"
JooE;57;"Group: Momoland
Label: MLD Entertainment
Nationality: South Korea
Birthdate: August 18, 1999
"
Xiyeon;58;"Group: Pristin
Label: Pledis Entertainment
Nationality: South Korea
Birthdate: November 14, 2000
"
Hayoung ;59;"Group: Apink
Label: Cube Entertainment
Nationality: South Korea
Birthdate: July 19, 1996
"
Namjoo;60;"Group: Apink
Label: Cube Entertainment
Nationality: South Korea
Birthdate: April 15, 1995
"
Baby Soul;61;"Group: Lovelyz
Label: Woollim Entertainment
Nationality: South Korea
Birthdate: July 6, 1992
"
Chaeyeon;62;"Group: DIA
Label: MBK Entertainment
Nationality: South Korea
Birthdate: December 1, 1997
"
Hyebin;63;"Group: Momoland
Label: MLD Entertainment
Nationality: South Korea
Birthdate: January 12, 1996
"
Sei;64;"Group: Weki Meki
Label: Fantagio Music
Nationality: South Korea
Birthdate: January 7, 2000
"
ZN;65;"Group: Laboum 
Label: Global H Media
Nationality: South Korea
Birthdate: June 9, 1994
"
Yujeong;66;"Group: Laboum 
Label: Global H Media
Nationality: South Korea
Birthdate: February 14, 1992
"
