Название;Описание товара;Артикул товара;Бренд товара;Характеристика товара;Ссылка на изображение;Наличие товара;Цена;Каталог товара
Семена арахиса 10 г (АгроВест);Арахис, земляной орех - род семейства бобовых. Однолетнее растение, высотой 60 см. Цветет в мае-июне. С оплодотворенных цветков появляются длинные выросты, проникающие в почву, где незрелые плоды превращаются в земляные орехи. Плод - подземный боб, удлиненно-цилиндрический. Семена съедобные, содержат масло, белки, углеводы, витамин В1 и т.д. Стебли и листья - хороший корм для скота.;2;АгроВест;"Посадка IV-V; Сбор урожая IX-X";https://semena.market/images/product/463x463/4248.jpg;В наличии;16,5;АгроВест
Насіння Арахісу Культурний 20 г (Seedera);Нет описания;12003;Нет бренда;[];https://semena.market/images/product/0/0.jpg;В наличии;17,5;Нет каталога
Семена арахиса Валенсия Украинская крупноплодный 5 шт (GL SEEDS);"Непревзойденный крупноплодный арахис (""земляной орех"") с великолепным вкусом. Достигает 60-80 см высотой. Распространяется в почве на глубину 1 м. Сорт отличается крупными плодами с 2-4 овальных ядер в темно-розовой оболочке. Их можно поджаривать, добавлять в кондитерские изделия. Орешки улучшают работу головного мозга, помогают бороться с инфекциями и стрессом.";9607;GL Seeds;Срок созревания Поздний;https://semena.market/images/product/463x463/12567.jpg;Нет в наличии;6,5;GL Seeds
Семена арахиса Испанский однолетний 5 шт (GL SEEDS);Теплолюбивое, требовательное к плодородию почвы, влаголюбивое растение семейства бобовых, 20-60 см высотой. Его часто называют «земляной орех». Цветет с июня до поздней осени. Куст мощный, 30-35 см высотой, формирует до 50 цилиндрических бобов с ломкой кожурой, которые содержат то 2-х до 6 семян. С одного куста можно собрать до 300-500 г орешков. Необходим умеренный полив, регулярные подкормки, окучивание 2-3 раза за сезон. Выращивается в открытом грунте. Также может выращиваться как горшечная культура (на лоджиях, балконах, подоконниках и др.) - в этом случае надо высевать в широкую посуду.;9608;GL Seeds;[];https://semena.market/images/product/463x463/12568.jpg;Нет в наличии;6,5;GL Seeds
Семена арбуза Княжич 1 г (АгроВест);Ультраранний сорт, срок созревания 65-70 дней. Плоды округло-овальной формы, гладкие, светло-зеленые с темно-зелеными широкими полосами. Мякоть ярко-малиновая, зернистая, сочная, нежная и очень сладкая. Устойчив к грибковым заболеваниям.;120;АгроВест;"Срок созревания Сверхранний; Посадка парник: IV; грунт: IV-V; Сбор урожая VIII-IX; Кожура Светло-зеленая; Мякоть Красная; Форма плода Округло-овальная; Упаковка Мини пакет; Фасовка 1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/3805.jpg;В наличии;4,32;АгроВест
Семена арбуза Сахарный малыш 5 г (АгроВест);Ультраранний сорт, от всходов до начала плодоношения проходит 65-70 дней. Плоды круглые, некрупные, массой 4-5 кг. Поверхность темно-зеленая. Мякоть ярко-красная, нежная, зернистая, очень сладкая.;128;АгроВест;"Срок созревания Сверхранний; Посадка парник: IV; грунт: IV-V; Сбор урожая VIII-IX; Кожура Темно-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 5 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/3849.jpg;В наличии;14;АгроВест
Семена арбуза Черногорец 1 г (АгроВест);Ранний. Вегетационный период 80-85 дней. Плод округлый, темно-зеленый со слабо заметными полосами, массой 2,5-3,0 кг. Для потребления в свежем виде и квашения. Сорт устойчив к засухе, болезням и продолжительному похолоданию. Транспортабельный.;130;АгроВест;"Срок созревания Ранний; Посадка парник: IV; грунт: V-VI; Сбор урожая VII-IX; Кожура Темно-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 1 г; Торговая марка АгроВест";https://semena.market/images/product/463x463/3883.jpg;В наличии;5;АгроВест
Семена арбуза Шуга Бэйби 0,5 г (Садыба Центр);Нет описания;1274;Садиба Центр;"Срок созревания Ранний; Кожура Темно-зеленая; Мякоть Красная; Форма плода Шаровидная; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/5998.jpg;В наличии;9,5;Садиба Центр
Семена арбуза Шуга Бейби, 15 сем. (Традиция);Чрезвычайно популярный ранний сорт. От всходов до сбора урожая - 65-70 дней. Растение сильное и неприхотливое к условиям выращивания. Формирует плоды округлой формы, средним весом 5-7 кг, с темно-зеленой кожурой и красной, сочной, сладкой мякотью. Для сорта характерна высокая товарность и транспортабельность.;1572;Садиба Центр;"Срок созревания Ранний; Кожура Темно-зеленая; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/6810.jpg;В наличии;5,5;Садиба Центр
Семена арбуза Ау Продюссер 0.5 г (Традиция);Нет описания;2386;Садиба Центр;"Срок созревания Среднеспелый; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округлая; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка Садиба Центр";https://semena.market/images/product/463x463/9436.jpg;В наличии;5,5;Садиба Центр
Семена арбуза Альянс 1 г (КОСТЮК);Нет описания;6405;КОСТЮК;"Срок созревания Ранний; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округло-овальная; Упаковка Мини пакет; Фасовка 1 г; Торговая марка Костюк";https://semena.market/images/product/463x463/9023.jpg;Нет в наличии;0;КОСТЮК
Семена арбуза Княжич 1 г (КОСТЮК);Нет описания;6407;КОСТЮК;"Срок созревания Ранний; Кожура Темно-зеленая с полосками; Мякоть Красная; Форма плода Округло-овальная; Упаковка Мини пакет; Фасовка 1 г; Торговая марка Костюк";https://semena.market/images/product/463x463/9022.jpg;Нет в наличии;0;КОСТЮК
