name_product; ; ; ; images
General Motors Dexos2 5W-30 (1 л, 2 л, 4 л, 5 л) моторное масло;254 грн;Емкость 1 л;Артикул 1942000;Серия Dexos2;Вязкость по SAE Моторное масло 5W-30;Тип синтетическое;Классификация ACEA C3;Классификация API CF, SN;Тип двигателя Бензин, Дизель;Допуск OEM General Motors GM-LL-A-025, GM-LL-B-025, GM Dexos 2;Допуск OEM Mercedes Benz MB 229.51;Допуск OEM VAG (VW, Audi, Seat, Skoda) VW 502 00, VW 505 00, VW 505 01;https://img.dok.ua/images/card/group/motornoe-maslo-general-motors-dexos2-5w-30-sinteticheskoe_2618.jpg
Ford Motorcraft A5 5W-30 (1 л, 5 л) моторное масло;327 грн;Емкость 1 л;Артикул 15CF56;Серия Motorcraft A5;Вязкость по SAE Моторное масло 5W-30;Тип синтетическое;Классификация ACEA A1/B1, A5/B5;Классификация API CF, SM;Тип двигателя Бензин, Дизель;Классификация ILSAC GF-4;Допуск OEM Ford Ford WSS-M2C 913-A, Ford WSS-M2C 913-B, Ford WSS-M2C 913-C, Ford WSS-M2C 913-D;No n_11;https://img.dok.ua/images/card/group/motornoe-maslo-ford-motorcraft-a5-5w-30-sinteticheskoe_774.jpg
Elf Evolution 900 SXR 5W-40 (1 л, 4 л, 5 л) моторное масло;319 грн;Емкость 1 л;Артикул 213897;Серия Evolution 900 SXR;Вязкость по SAE Моторное масло 5W-40;Тип синтетическое;Классификация ACEA A3/B4;Классификация API CF, SN;Тип двигателя Бензин, Дизель;Допуск OEM Chrysler Chrysler MS 12991;Допуск OEM Fiat Fiat 9.55535-M2;Допуск OEM Mercedes Benz MB 229.5;https://img.dok.ua/images/card/group/motornoe-maslo-elf-evolution-900-sxr-5w-40-sinteticheskoe_2575.jpg
Mazda Original Oil Ultra 5W-30 (1 л, 5 л) моторное масло;835 грн;Емкость 1 л;Артикул 053001tfe;Серия Original Oil Ultra;Вязкость по SAE Моторное масло 5W-30;Тип синтетическое;Классификация ACEA A5/B5;Классификация API CF, SL;Тип двигателя Бензин, Дизель;No n_09;No n_10;No n_11;https://img.dok.ua/images/card/group/motornoe-maslo-mazda-original-oil-ultra-5w-30-sinteticheskoe_1270.jpg
Total Quartz Ineo MC3 5W-30 (1 л, 5 л) моторное масло;370 грн;Емкость 1 л;Артикул 166254;Серия Quartz Ineo MC3;Вязкость по SAE Моторное масло 5W-30;Тип синтетическое;Классификация ACEA C3;Классификация API CF, SN+;Тип двигателя Бензин, Дизель;Допуск OEM BMW BMW Longlife-04;Допуск OEM Chrysler Chrysler MS 11106;Допуск OEM General Motors GM Dexos 2;https://img.dok.ua/images/card/group/motornoe-maslo-total-quartz-ineo-mc3-5w-30-sinteticheskoe_2204.jpg
Nissan Motor Oil 5W-40 (1 л, 5 л) моторное масло;361 грн;Емкость 1 л;Артикул ke90090032;Серия Motor Oil;Вязкость по SAE Моторное масло 5W-40;Тип синтетическое;Классификация ACEA A3/B4;Классификация API CF, SN;Тип двигателя Бензин, Дизель;No n_09;No n_10;No n_11;https://img.dok.ua/images/card/group/motornoe-maslo-nissan-motor-oil-5w-40-sinteticheskoe_12672.jpg
Elf Evolution Full-Tech FE 5W-30 (1 л, 2 л, 5 л) моторное масло;353 грн;Емкость 1 л;Артикул 213933;Серия Evolution Full-Tech FE;Вязкость по SAE Моторное масло 5W-30;Тип синтетическое;Классификация ACEA C4;Тип двигателя Дизель;Допуск OEM Fiat Fiat 9.55535-S4;Допуск OEM Mercedes Benz MB 226.51;Допуск OEM Renault Renault RN 0720;No n_11;https://img.dok.ua/images/card/group/motornoe-maslo-elf-evolution-full-tech-fe-5w-30-sinteticheskoe_2575.jpg
VAG Special G 5W-40 (1 л, 5 л) моторное масло;326 грн;Емкость 1 л;Артикул gs55502m2;Серия Special G;Вязкость по SAE Моторное масло 5W-40;Тип синтетическое;Тип двигателя Бензин;Допуск OEM VAG (VW, Audi, Seat, Skoda) VW 502 00, VW 505 00;No n_08;No n_09;No n_10;No n_11;https://img.dok.ua/images/card/group/motornoe-maslo-vag-special-g-5w-40-sinteticheskoe_2268.jpg
Toyota Fuel Economy 5W-30 (1 л, 5 л) моторное масло;321 грн;Емкость 1 л;Артикул 0888080846;Серия Fuel Economy;Вязкость по SAE Моторное масло 5W-30;Тип синтетическое;Классификация ACEA A1/B1, A5/B5;Классификация API CF, SL;Тип двигателя Бензин, Дизель;No n_09;No n_10;No n_11;https://img.dok.ua/images/card/group/motornoe-maslo-toyota-fuel-economy-5w-30-sinteticheskoe_12673.jpg
Aral HighTronic 5W-40 (1 л, 4 л, 5 л, 20 л) моторное масло;313 грн;Емкость 1 л;Артикул 20637;Серия HighTronic;Вязкость по SAE Моторное масло 5W-40;Тип синтетическое;Классификация ACEA C3;Классификация API CF, SN;Тип двигателя Бензин, Дизель;Допуск OEM Fiat Fiat 9.55535-S2;Допуск OEM Ford Ford WSS-M2C 917-A;Допуск OEM General Motors GM Dexos 2;https://img.dok.ua/images/card/group/motornoe-maslo-aral-hightronic-5w-40-sinteticheskoe_2574.jpg
