name_product;categ_product;price_new;price_old;Артикул;Висота;Ширина;Глибина;Ціновий діапазон;Серія;Тип кухні;Можливість індивідуального замовлення;Гарантія;Матеріал корпуса;Матеріал фасада;Упаковка;Наявність;Спосіб оплати;images
"Кухня ""Еко""";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;1;Низький;Еко;Кутова;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/86b/93i7pgi5jkzklyiwclyr13myd5cbvfuv.jpg
"Кухня ""Еко"" 1";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;1;3600 мм;2800 мм;Низький;Еко;Кутова;Є;12 міс.;ЛДСП;ЛДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/9d0/9d0dad7c829df070b70b8760d7be06e1.jpg
"Кухня ""Еко"" 2";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;2;2140 мм;3400мм;600мм;Низький;Еко;Пряма;Є;12 міс.;ЛДСП;ЛДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_15;https://komfortmebli.com.ua/upload/iblock/454/454bc7af06d1fa376494077c12b26f6a.jpg
"Кухня ""Еко"" 3";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;3;1700 мм;3000 мм;Низький;Еко;Кутова;Є;12 міс.;ЛДСП;ДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/1cf/1cfbe4e413e5f202d9553f69de8c5c80.jpg
"Кухня ""Еко"" 4";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;4;Низький;Еко;Пряма;Є;12 міс.;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_10;No n_11;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/384/38455117a46e2313689315af6657ecef.jpg
"Кухня ""Еко"" 5";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;5;Низький;Еко;П-подібна;Є;12 міс.;ЛДСП;ЛДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/87c/87c8cd7f0070e6da5b9ec48609ced7b7.jpg
"Кухня ""Еко"" 6";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;6;3600 мм;600 мм;Низький;Еко;Пряма;Є;12 міс.;ЛДСП;ЛДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/14e/14e427814f8767582fdf1d33efedf018.jpg
"Кухня ""Еко"" 7";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;7;3400 мм;600 мм;Низький;Еко;Пряма;Є;12 міс.;ЛДСП;ЛДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/6cb/6cb619edb72dc9833e341e0bf390faa6.jpg
"Кухня ""Еко"" 8";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;8;2000 мм;600 мм;Низький;Еко;Пряма;Є;12 міс.;ЛДСП;ЛДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/613/613ba01aae0f2b3315e3b38c6ed7eb7a.jpg
"Кухня ""Еко"" 13";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;13;2600 мм;3000 мм;Низький;Еко;П-подібна;Є;12 міс.;ЛДСП;ЛДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/239/239b5944a63cf5e8d1e366729775054f.jpg
"Кухня ""Еко"" 15";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;15;Низький;Еко;Пряма;Є;12 міс.;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_10;No n_11;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/4fe/4feb651bc2ea4d6469ea0bcd8a93c009.jpg
"Кухня ""Еко"" 17";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;17;3300 мм;3100 мм;Низький;Еко;П-подібна;Є;12 міс.;ЛДСП;ЛДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/3c6/3c6fb9f63729e67ac2ef901ecdc6b236.jpg
"Кухня ""Еко"" 19";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;19;3600;600 мм;Низький;Еко;Пряма;Є;12 міс.;ЛДСП;ЛДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/f08/f081e6682bb690689e07a17975a6d834.jpg
"Кухня ""Еко"" 18";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;18;3400 мм;600 мм;Низький;Еко;Пряма;Є;12 міс.;ЛДСП;ЛДСП;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/64b/64b5c40cda0ceebad3c25f6e0b3434c2.jpg
"Кухня ""Еко"" 20";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;20;Низький;Еко;Пряма;Є;12 міс.;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_10;No n_11;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/7eb/7eb9ac00592ecfde23bb9e560f1242a1.jpg
"Кухня ""Еко"" 21";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;21;Низький;Еко;Пряма;Є;12 міс.;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_10;No n_11;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/ade/ade287128283be0a8392d415c203853d.jpg
"Кухня ""Еко"" 22";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;22;Низький;Еко;Пряма;Є;12 міс.;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_10;No n_11;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/22e/22ef722a5821cff7d638c48f1dc69934.jpg
"Кухня ""Еко"" 23";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;23;Низький;Еко;Пряма;Є;12 міс.;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_10;No n_11;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/662/662c2cf303702ee626540744704c37c5.jpg
"Кухня ""Еко"" 24";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;24;Низький;Еко;Пряма;Є;12 міс.;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_10;No n_11;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/180/1807a42b09c49fd53c074cf5f9bf571c.jpg
"Кухня ""Еко"" 16";Кухні посекційно;від 5 247 грн/м.пог.;від 6 399 грн/м.пог.;16;Низький;Еко;Пряма;Є;12 міс.;Розібрано в пачках;В наявності;Готівковий/Безготівковий;No n_10;No n_11;No n_12;No n_13;No n_14;No n_15;https://komfortmebli.com.ua/upload/iblock/75b/75b6ba67bdd1393288e41c7bc37f8e78.jpg
