Название;Каталожный номер;Название группы;Цена;Ссылка на изображение
99955A: Fleetguard Gasket;FL-99955A;99955A: Fleetguard Gasket;$5.25;https://cdn11.bigcommerce.com/s-873ultu4xu/images/stencil/1280x1280/products/51303/3028803/Fleetguard_Gasket_99955A__07990.1552576362.jpg?c=2;Learn More With Our Fleetguard Buyers Guide;*Stock image used to represent vendor. Contact The Modern Shop or OEM vendor for more information about this item.
DCA65L: Fleetguard 1/2 Gal Jug DCA4;FL-DCA65L;DCA65L: Fleetguard 1/2 Gal Jug DCA4;$19.35;https://cdn11.bigcommerce.com/s-873ultu4xu/images/stencil/1280x1280/products/53249/53548/DCA65L__76571.1510953093.JPG?c=2;Нету описания;Нету описания
FF5644: Fleetguard Fuel Filter;FL-FF5644;FF5644: Fleetguard Fuel Filter;$68.33;https://cdn11.bigcommerce.com/s-873ultu4xu/images/stencil/1280x1280/products/53679/515699/FF5644-L__80150.1529420562.JPG?c=2;Нету описания;Нету описания
FS19841: Fleetguard Fuel/Water Separator;FL-FS19841;FS19841: Fleetguard Fuel/Water Separator;$50.34;https://cdn11.bigcommerce.com/s-873ultu4xu/images/stencil/1280x1280/products/54083/515899/FS19841-L__25966.1529420744.JPG?c=2;Нету описания;Нету описания
DCA60L: Fleetguard Pint DCA4;FL-DCA60L;DCA60L: Fleetguard Pint DCA4;$5.02;https://cdn11.bigcommerce.com/s-873ultu4xu/images/stencil/1280x1280/products/53248/53547/DCA60L__30115.1510953090.JPG?c=2;Нету описания;Нету описания
AF55014: Fleetguard Primary Air Filter;FL-AF55014;AF55014: Fleetguard Primary Air Filter;$102.35;https://cdn11.bigcommerce.com/s-873ultu4xu/images/stencil/1280x1280/products/52650/3209394/AF55014---1__36020.1578500057.jpg?c=2;Нету описания;Нету описания
Q79699: Fleetguard Service Part (GASKET);FL-Q79699;Q79699: Fleetguard Service Part (GASKET);$3.59;https://cdn11.bigcommerce.com/s-873ultu4xu/images/stencil/1280x1280/products/55972/2149585/modern-shop-fleetguard-stock1__56342.1544555362.jpg?c=2;Learn More With Our Fleetguard Buyers Guide;*Stock image used to represent vendor. Contact The Modern Shop or OEM vendor for more information about this item.
LF14000NN: Fleetguard Filter;FL-LF14000NN;LF14000NN: Fleetguard Filter;$52.16;https://cdn11.bigcommerce.com/s-873ultu4xu/images/stencil/1280x1280/products/55112/3154064/LF14000nn-3__51293.1554755314.jpg?c=2;;As a filtration company that manufactures its own media, Cummins Filtration knows the science from the inside out. With a full line of filters specifically engineered for a wide range of systems, your customers get advanced design and high quality performance, providing the ultimate protection for all of their equipment.
AF26116: Fleetguard Primary Air Filter;FL-AF26116;AF26116: Fleetguard Primary Air Filter;$19.67;https://cdn11.bigcommerce.com/s-873ultu4xu/images/stencil/1280x1280/products/51957/514894/AF26116-L__31177.1529419794.JPG?c=2;Нету описания;Нету описания
LF9010: Fleetguard Oil Filter;FL-LF9010;LF9010: Fleetguard Oil Filter;$52.26;https://cdn11.bigcommerce.com/s-873ultu4xu/images/stencil/1280x1280/products/55762/516430/LF9010-L__78812.1529421224.JPG?c=2;As a filtration company that manufactures its own media, Cummins Filtration knows the science from the inside out. With a full line of filters specifically engineered for a wide range of systems, your customers get advanced design and high quality performance, providing the ultimate protection for all of their equipment.;Learn More With Our Fleetguard Buyers Guide
LF9009: Fleetguard Combination Oil Filter;FL-LF9009;LF9009: Fleetguard Combination Oil Filter;$41.00;https://cdn11.bigcommerce.com/s-873ultu4xu/images/stencil/1280x1280/products/55761/2026204/lf9009__80865.1543236925.jpg?c=2;Overall Height: 301.76 mm (11.88 in)
Largest OD: 118.31 mm (4.658 in)
Seam OD: 118.87 mm (4.68 in)
Gasket OD: 118.87 mm (4.68 in)
GASKET INSIDE DIAMETER: 101.85 mm (4.01 in)
Thread Size: 2 1/4-12 UNS-2B
Standpipe: NO
30 MICRON EFFICIENCY, TWA: 98.7 % (98.7 %);Primary Applications:
CUMMINS: 3401544
JOHN DEERE: AT193242
SISU: 1216400561
AF26168: Fleetguard Primary Air Filter;FL-AF26168;AF26168: Fleetguard Primary Air Filter;$26.77;https://cdn11.bigcommerce.com/s-873ultu4xu/images/stencil/1280x1280/products/51983/514913/AF26168-L__29653.1529419813.JPG?c=2;Нету описания;Нету описания
